candidate_id,resume_text,job_description,fit_score
1,"Python developer with 2+ years experience in Django, REST APIs and PostgreSQL. Worked on backend services and writing unit tests.","Hiring a backend Python developer responsible for building REST APIs, integrating databases and writing clean, tested code.",89
2,"Java developer using Spring Boot microservices, MySQL and Kafka. 3 years experience in backend development.","Looking for a backend engineer strong in Java, Spring Boot and microservice architecture. Experience with MySQL preferred.",91
3,"Frontend engineer skilled in HTML, CSS, JavaScript and React. Built responsive UI and worked with REST APIs.","Frontend web developer to build responsive, mobile‑first UI using React, JavaScript, HTML and CSS. Should consume REST services.",94
4,"Data analyst with strong Excel, SQL and basic Python. Created dashboards and reports for business team.","Business analyst / data analyst who can work with SQL, Excel and reporting tools to create dashboards and KPI reports.",80
5,"DevOps engineer comfortable with Docker, Kubernetes, CI/CD (GitHub Actions, Jenkins) and Linux administration.","DevOps role focusing on Kubernetes, Docker containers, CI/CD pipelines and infrastructure automation.",95
6,"Technical support engineer with good communication skills, ticketing tools and hardware troubleshooting experience.","Technical support executive to handle L1/L2 tickets, interact with customers and troubleshoot hardware/software issues.",74
7,"Machine learning enthusiast with projects using scikit‑learn, pandas, NumPy and basic NLP. 1 year internship as data science trainee.","Junior data scientist role for building ML models, using Python, scikit‑learn and doing data cleaning and feature engineering.",86
8,"Android developer with Java, Kotlin, Android Studio and REST API integration experience.","Mobile app developer for Android using Kotlin, Android Studio and consuming REST/JSON APIs.",88
9,"Fresh graduate with knowledge of C, C++, basic HTML and good problem solving skills. No work experience yet.","Software trainee / fresher role open to any programming language. Looking for good fundamentals and willingness to learn.",68
10,"Full stack developer with Node.js, Express, Angular and MongoDB. Built end‑to‑end web applications.","Full‑stack web developer using Node.js, Express and modern frontend framework (Angular/React). MongoDB experience is a plus.",96
